ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b9058891r_prise-d-Orange_prise-d-Orange	prise d'Orange	prise d'Orange	verse		français 1448	105-114	1241-1260
btv1b9058891r_Siege-de-Barbastre_Siege-de-Barbastre	Siege de Barbastre	Siege de Barbastre	verse		français 1448	120-170	1241-1260
btv1b9058891r_prise-de-Cordres-et-de-Sebille_prise-de-Cordres-et-de-Sebille	prise de Cordres et de Sebille	prise de Cordres et de Sebille	verse		français 1448	171-189	1241-1260
btv1b9058891r_enfances-Vivien_enfances-Vivien	enfances Vivien	enfances Vivien	verse		français 1448	190-211	1241-1260
btv1b9058891r_Girart-de-Vienne_Girart-de-Vienne	Girart de Vienne	Girart de Vienne	verse		français 1448	5-46	1241-1260
btv1b9058891r_chevalerie-Vivien_chevalerie-Vivien	chevalerie Vivien	chevalerie Vivien	verse		français 1448	211-223	1241-1260
btv1b9058891r_Aliscans_Aliscans	Aliscans	Aliscans	verse		français 1448	223-279	1241-1260
btv1b9058891r_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		français 1448	279-305	1241-1260
btv1b9058891r_moniage-Rainouart_moniage-Rainouart	moniage Rainouart	moniage Rainouart	verse		français 1448	305	1241-1260
btv1b9058891r_Aimeri-de-Narbonne_	Aimeri de Narbonne		verse		français 1448	46	1241-1260
btv1b9058891r_enfances-Guillaume_enfances-Guillaume	enfances Guillaume	enfances Guillaume	verse		français 1448	74-94	1241-1260
btv1b9058891r_couronnement-de-Louis_couronnement-de-Louis	couronnement de Louis	couronnement de Louis	verse		français 1448	94-96	1241-1260
btv1b9058891r_charroi-de-Nimes_charroi-de-Nimes	charroi de Nimes	charroi de Nimes	verse		français 1448	96-105	1241-1260
btv1b90598964_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		français 1449	160-178	1241-1260
btv1b90598964_enfances-Guillaume_enfances-Guillaume	enfances Guillaume	enfances Guillaume	verse		français 1449	5-27	1241-1260
btv1b90598964_couronnement-de-Louis_couronnement-de-Louis	couronnement de Louis	couronnement de Louis	verse		français 1449	27-46	1241-1260
btv1b90598964_charroi-de-Nimes_charroi-de-Nimes	charroi de Nimes	charroi de Nimes	verse		français 1449	47-56	1241-1260
btv1b90598964_prise-d-Orange_prise-d-Orange	prise d'Orange	prise d'Orange	verse		français 1449	56-67	1241-1260
btv1b90598964_enfances-Vivien_enfances-Vivien	enfances Vivien	enfances Vivien	verse		français 1449	68-91	1241-1260
btv1b90598964_chevalerie-Vivien_chevalerie-Vivien	chevalerie Vivien	chevalerie Vivien	verse		français 1449	92-103	1241-1260
btv1b90598964_Aliscans_Aliscans	Aliscans	Aliscans	verse		français 1449	104-161	1241-1260
btv1b90598964_moniage-Rainouart_moniage-Rainouart	moniage Rainouart	moniage Rainouart	verse		français 1449	104-161	1241-1260
btv1b8415202d_Erec-et-Enide_Erec-et-Enide	Erec et Enide	Erec et Enide			français 1450	289-326	1231-1250
btv1b8415202d_Perceval-ou-le-conte-du-Graal_Perceval-ou-le-conte-du-Graal	Perceval ou le conte du Graal	Perceval ou le conte du Graal			français 1450	326-378	1231-1250
btv1b8415202d_Première-continuation-du-Conte-du-Graal_Première-continuation-du-Conte-du-Graal	Première continuation du Conte du Graal	Première continuation du Conte du Graal			français 1450	378-386	1231-1250
btv1b8415202d_Cligés_Cligés	Cligés	Cligés			français 1450	386-424	1231-1250
btv1b8415202d_roman-de-Troie_roman-de-Troie	roman de Troie	roman de Troie			français 1450	11-175	1231-1250
btv1b8415202d_Yvain-ou-le-Chevalier-au-lion_Yvain-ou-le-Chevalier-au-lion	Yvain ou le Chevalier au lion	Yvain ou le Chevalier au lion			français 1450	424-447	1231-1250
btv1b8415202d_Lancelot-ou-le-Chevalier-de-la-charrette_Lancelot-ou-le-Chevalier-de-la-charrette	Lancelot ou le Chevalier de la charrette	Lancelot ou le Chevalier de la charrette			français 1450	447-455	1231-1250
btv1b8415202d_Sept-Sages-de-Rome_Dolopathos	Sept Sages de Rome	Dolopathos			français 1450	481-534	1231-1250
